State|County|Party|Candidate|Num|Percent|Won
wyoming|Converse |CST|V. Goode|       44|0.7%|False
wyoming|Converse |GOP|M. Romney|     5,043|80.2%|True
wyoming|Converse |Lib|G. Johnson|      111|1.8%|False
wyoming|Converse |Dem|B. Obama (i)|     1,089|17.3%|False
wyoming|Platte |CST|V. Goode|       46|1.0%|False
wyoming|Platte |GOP|M. Romney|     3,136|69.7%|True
wyoming|Platte |Lib|G. Johnson|       95|2.1%|False
wyoming|Platte |Dem|B. Obama (i)|     1,223|27.2%|False
wyoming|Goshen |CST|V. Goode|       42|0.7%|False
wyoming|Goshen |GOP|M. Romney|     4,178|72.6%|True
wyoming|Goshen |Lib|G. Johnson|       80|1.4%|False
wyoming|Goshen |Dem|B. Obama (i)|     1,458|25.3%|False
wyoming|Big Horn |CST|V. Goode|       40|0.8%|False
wyoming|Big Horn |GOP|M. Romney|     4,269|81.1%|True
wyoming|Big Horn |Lib|G. Johnson|       85|1.6%|False
wyoming|Big Horn |Dem|B. Obama (i)|      868|16.5%|False
wyoming|Lincoln |CST|V. Goode|       31|0.4%|False
wyoming|Lincoln |GOP|M. Romney|     7,144|83.3%|True
wyoming|Lincoln |Lib|G. Johnson|      111|1.3%|False
wyoming|Lincoln |Dem|B. Obama (i)|     1,287|15.0%|False
wyoming|Johnson |CST|V. Goode|       22|0.5%|False
wyoming|Johnson |GOP|M. Romney|     3,362|79.7%|True
wyoming|Johnson |Lib|G. Johnson|       84|2.0%|False
wyoming|Johnson |Dem|B. Obama (i)|      749|17.8%|False
wyoming|Sublette |CST|V. Goode|       22|0.5%|False
wyoming|Sublette |GOP|M. Romney|     3,472|80.1%|True
wyoming|Sublette |Lib|G. Johnson|       76|1.8%|False
wyoming|Sublette |Dem|B. Obama (i)|      767|17.7%|False
wyoming|Uinta |CST|V. Goode|       46|0.5%|False
wyoming|Uinta |GOP|M. Romney|     6,613|78.2%|True
wyoming|Uinta |Lib|G. Johnson|      166|2.0%|False
wyoming|Uinta |Dem|B. Obama (i)|     1,628|19.3%|False
wyoming|Hot Springs |CST|V. Goode|       15|0.6%|False
wyoming|Hot Springs |GOP|M. Romney|     1,894|75.9%|True
wyoming|Hot Springs |Lib|G. Johnson|       63|2.5%|False
wyoming|Hot Springs |Dem|B. Obama (i)|      523|21.0%|False
wyoming|Weston |CST|V. Goode|       28|0.8%|False
wyoming|Weston |GOP|M. Romney|     2,821|84.9%|True
wyoming|Weston |Lib|G. Johnson|       52|1.6%|False
wyoming|Weston |Dem|B. Obama (i)|      422|12.7%|False
wyoming|Sweetwater |CST|V. Goode|      119|0.7%|False
wyoming|Sweetwater |GOP|M. Romney|    11,427|68.2%|True
wyoming|Sweetwater |Lib|G. Johnson|      431|2.6%|False
wyoming|Sweetwater |Dem|B. Obama (i)|     4,773|28.5%|False
wyoming|Carbon |CST|V. Goode|       46|0.7%|False
wyoming|Carbon |GOP|M. Romney|     4,152|64.3%|True
wyoming|Carbon |Lib|G. Johnson|      154|2.4%|False
wyoming|Carbon |Dem|B. Obama (i)|     2,109|32.6%|False
wyoming|Park |CST|V. Goode|       79|0.5%|False
wyoming|Park |GOP|M. Romney|    11,234|77.5%|True
